1@@CH0401|0.00
2@@CH0401|3.50
3@@CH0401|0.00
4@@CH0401|435.00
5@@CH0401|32.00
6@@CH0401|11.00
7@@CH0401|4.00
8@@CH0401|4.00
9@@CH0401|4.00
10@@CH0401|5.00
11@@CH0401|4.00
12@@CH0401|4.00
13@@CH0401|8.00
14@@CH0401|8.70
15@@CH0401|5.00
16@@CH0401|5.00
17@@CH0401|2.00
18@@CH0401|5.00
1@@CH0402|0.00
2@@CH0402|3.50
3@@CH0402|0.00
4@@CH0402|435.00
5@@CH0402|32.00
6@@CH0402|11.00
7@@CH0402|4.00
8@@CH0402|4.00
9@@CH0402|4.00
10@@CH0402|5.00
11@@CH0402|4.00
12@@CH0402|4.00
13@@CH0402|8.00
14@@CH0402|8.70
15@@CH0402|5.00
16@@CH0402|5.00
17@@CH0402|2.00
18@@CH0402|5.00
1@@CH0403|0.00
2@@CH0403|3.50
3@@CH0403|0.00
4@@CH0403|435.00
5@@CH0403|32.00
6@@CH0403|11.00
7@@CH0403|4.00
8@@CH0403|4.00
9@@CH0403|4.00
10@@CH0403|5.00
11@@CH0403|4.00
12@@CH0403|4.00
13@@CH0403|8.00
14@@CH0403|8.70
15@@CH0403|5.00
16@@CH0403|5.00
17@@CH0403|2.00
18@@CH0403|5.00
1@@CH0404|0.00
2@@CH0404|3.50
3@@CH0404|0.00
4@@CH0404|435.00
5@@CH0404|32.00
6@@CH0404|11.00
7@@CH0404|4.00
8@@CH0404|4.00
9@@CH0404|4.00
10@@CH0404|5.00
11@@CH0404|4.00
12@@CH0404|4.00
13@@CH0404|8.00
14@@CH0404|8.00
15@@CH0404|5.00
16@@CH0404|5.00
17@@CH0404|2.00
18@@CH0404|5.00
1@@CH0405|0.00
2@@CH0405|3.50
3@@CH0405|0.00
4@@CH0405|435.00
5@@CH0405|32.00
6@@CH0405|11.00
7@@CH0405|4.00
8@@CH0405|4.00
9@@CH0405|4.00
10@@CH0405|5.00
11@@CH0405|4.00
12@@CH0405|4.00
13@@CH0405|8.00
14@@CH0405|8.70
15@@CH0405|5.00
16@@CH0405|5.00
17@@CH0405|2.00
18@@CH0405|5.00
1@@CH0406|0.00
2@@CH0406|3.50
3@@CH0406|0.00
4@@CH0406|435.00
5@@CH0406|32.00
6@@CH0406|11.00
7@@CH0406|4.00
8@@CH0406|4.00
9@@CH0406|4.00
10@@CH0406|5.00
11@@CH0406|4.00
12@@CH0406|4.00
13@@CH0406|8.00
14@@CH0406|8.70
15@@CH0406|5.00
16@@CH0406|5.00
17@@CH0406|2.00
18@@CH0406|5.00
1@@CH0407|0.00
2@@CH0407|3.50
3@@CH0407|0.00
4@@CH0407|435.00
5@@CH0407|32.00
6@@CH0407|11.00
7@@CH0407|4.00
8@@CH0407|4.00
9@@CH0407|4.00
10@@CH0407|5.00
11@@CH0407|4.00
12@@CH0407|4.00
13@@CH0407|8.00
14@@CH0407|8.70
15@@CH0407|5.00
16@@CH0407|5.00
17@@CH0407|2.00
18@@CH0407|5.00